name,state,constituency,wikipedia,party_id,party,term,source,area,coalition,coalition_id,constituency_id
Azalina Othman Said,Johor,Pengerang,http://en.wikipedia.org/wiki/Azalina_Othman_Said,UMNO,United Malays National Organisation,13,"","Pengerang, Johor",Barisan Nasional,BN,P157
Khoo Soo Seang,Johor,Tebrau,,MCA,Malaysian Chinese Association,13,"","Tebrau, Johor",Barisan Nasional,BN,P158
Normala Abdul Samad,Johor,Pasir Gudang,http://en.wikipedia.org/wiki/Normala_Abdul_Samad,UMNO,United Malays National Organisation,13,"","Pasir Gudang, Johor",Barisan Nasional,BN,P159
Shahrir Abdul Samad,Johor,Johor Bahru,http://en.wikipedia.org/wiki/Shahrir_Abdul_Samad,UMNO,United Malays National Organisation,13,"","Johor Bahru, Johor",Barisan Nasional,BN,P160
Nur Jazlan Mohamed,Johor,Pulai,http://en.wikipedia.org/wiki/Nur_Jazlan_Mohamed,UMNO,United Malays National Organisation,13,"","Pulai, Johor",Barisan Nasional,BN,P161
Lim Kit Siang,Johor,Gelang Patah,http://en.wikipedia.org/wiki/Lim_Kit_Siang,DAP,Democratic Action Party,13,"","Gelang Patah, Johor",,,P162
Teo Nie Ching,Johor,Kulai,http://en.wikipedia.org/wiki/Teo_Nie_Ching,DAP,Democratic Action Party,13,"","Kulai, Johor",,,P163
Ahmad Maslan,Johor,Pontian,http://en.wikipedia.org/wiki/Ahmad_Maslan,UMNO,United Malays National Organisation,13,"","Pontian, Johor",Barisan Nasional,BN,P164
Wee Jeck Seng,Johor,Tanjong Piai,http://en.wikipedia.org/wiki/Wee_Jeck_Seng,MCA,Malaysian Chinese Association,13,"","Tanjong Piai, Johor",Barisan Nasional,BN,P165
Rozman Isli,Federal Territory of Labuan,Labuan,,UMNO,United Malays National Organisation,13,"","Labuan, Federal Territory of Labuan",Barisan Nasional,BN,P166
Abdul Rahim Bakri,Sabah,Kudat,http://en.wikipedia.org/wiki/Abdul_Rahim_Bakri,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Kudat, Sabah",Barisan Nasional,BN,P167
Maximus Johnity Ongkili,Sabah,Kota Marudu,http://en.wikipedia.org/wiki/Maximus_Ongkili,PBS,Parti Bersatu Sabah,13,"","Kota Marudu, Sabah",Barisan Nasional,BN,P168
Abdul Rahman Dahlan,Sabah,Kota Belud,http://en.wikipedia.org/wiki/Abdul_Rahman_Dahlan,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Kota Belud, Sabah",Barisan Nasional,BN,P169
Madius Tangau,Sabah,Tuaran,,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,13,"","Tuaran, Sabah",Barisan Nasional,BN,P170
Jumat Idris,Sabah,Sepanggar,,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Sepanggar, Sabah",Barisan Nasional,BN,P171
Jimmy Wong Sze Phin,Sabah,Kota Kinabalu,http://en.wikipedia.org/wiki/Wong_Sze_Phin,DAP,Democratic Action Party,13,"","Kota Kinabalu, Sabah",,,P172
Marcus Mojigoh,Sabah,Putatan,http://en.wikipedia.org/wiki/Marcus_Mojigoh,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,13,"","Putatan, Sabah",Barisan Nasional,BN,P173
Ignatius Dorrel Leiking,Sabah,Penampang,,PKR,People's Justice Party,13,"","Penampang, Sabah",,,P174
Rosnah Abdul Rashid Shirlin,Sabah,Papar,http://en.wikipedia.org/wiki/Rosnah_Shirlin,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Papar, Sabah",Barisan Nasional,BN,P175
Anifah Aman,Sabah,Kimanis,http://en.wikipedia.org/wiki/Anifah_Aman,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Kimanis, Sabah",Barisan Nasional,BN,P176
Azizah Mohd Dun,Sabah,Beaufort,http://en.wikipedia.org/wiki/Azizah_Mohd_Dun,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Beaufort, Sabah",Barisan Nasional,BN,P177
Sapawi Ahmad,Sabah,Sipitang,http://en.wikipedia.org/wiki/Sapawi_Ahmad,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Sipitang, Sabah",Barisan Nasional,BN,P178
Ewon Ebin,Sabah,Ranau,,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,13,"","Ranau, Sabah",Barisan Nasional,BN,P179
Joseph Pairin Kitingan,Sabah,Keningau,http://en.wikipedia.org/wiki/Joseph_Pairin_Kitingan,PBS,Parti Bersatu Sabah,13,"","Keningau, Sabah",Barisan Nasional,BN,P180
Raime Unggi,Sabah,Tenom,http://en.wikipedia.org/wiki/Raime_Unggi,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Tenom, Sabah",Barisan Nasional,BN,P181
Joseph Kurup,Sabah,Pensiangan,http://en.wikipedia.org/wiki/Joseph_Kurup,PBRS,Parti Bersatu Rakyat Sabah,13,"","Pensiangan, Sabah",Barisan Nasional,BN,P182
Ronald Kiandee,Sabah,Beluran,http://en.wikipedia.org/wiki/Ronald_Kiandee,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Beluran, Sabah",Barisan Nasional,BN,P183
Juslie Ajirol,Sabah,Libaran,http://en.wikipedia.org/wiki/Juslie_Ajirol,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Libaran, Sabah",Barisan Nasional,BN,P184
Linda Tsen Thau Lin,Sabah,Batu Sapi,http://en.wikipedia.org/wiki/Linda_Tsen,PBS,Parti Bersatu Sabah,13,"","Batu Sapi, Sabah",Barisan Nasional,BN,P185
Wong Tien Fatt,Sabah,Sandakan,,DAP,Democratic Action Party,13,"","Sandakan, Sabah",,,P186
Bung Moktar Radin,Sabah,Kinabatangan,http://en.wikipedia.org/wiki/Bung_Moktar_Radin,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Kinabatangan, Sabah",Barisan Nasional,BN,P187
Nasrun Mansor,Sabah,Silam,,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Silam, Sabah",Barisan Nasional,BN,P188
Mohd Shafie Apdal,Sabah,Semporna,http://en.wikipedia.org/wiki/Shafie_Apdal,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Semporna, Sabah",Barisan Nasional,BN,P189
Mary Yap Kain Ching,Sabah,Tawau,,PBS,Parti Bersatu Sabah,13,"","Tawau, Sabah",Barisan Nasional,BN,P190
Abdul Ghapur Salleh,Sabah,Kalabakan,http://en.wikipedia.org/wiki/Abdul_Ghapur_Salleh,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"","Kalabakan, Sabah",Barisan Nasional,BN,P191
Nogeh Gumbek,Sarawak,Mas Gading,,SPDP,Sarawak Progressive Democratic Party,13,"","Mas Gading, Sarawak",Barisan Nasional,BN,P192
Wan Junaidi Tuanku Jaafar,Sarawak,Santubong,http://en.wikipedia.org/wiki/Wan_Junaidi_Tuanku_Jaafar,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Santubong, Sarawak",Barisan Nasional,BN,P193
Fadillah Yusof,Sarawak,Petra Jaya,http://en.wikipedia.org/wiki/Fadillah_Yusof,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Petra Jaya, Sarawak",Barisan Nasional,BN,P194
Chong Chieng Jen,Sarawak,Bandar Kuching,http://en.wikipedia.org/wiki/Chong_Chieng_Jen,DAP,Democratic Action Party,13,"","Bandar Kuching, Sarawak",,,P195
Julian Tan Kok Ping,Sarawak,Stampin,http://en.wikipedia.org/wiki/Julian_Tan_Kok_Ping,DAP,Democratic Action Party,13,"","Stampin, Sarawak",,,P196
Rubiah Wang,Sarawak,Kota Samarahan,http://en.wikipedia.org/wiki/Rubiah_Wang,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Kota Samarahan, Sarawak",Barisan Nasional,BN,P197
James Dawos Mamit,Sarawak,Mambong,http://en.wikipedia.org/wiki/James_Dawos_Mamit,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Mambong, Sarawak",Barisan Nasional,BN,P198
Richard Riot Jaem,Sarawak,Serian,http://en.wikipedia.org/wiki/Richard_Riot_Jaem,SUPP,Sarawak United Peoples' Party,13,"","Serian, Sarawak",Barisan Nasional,BN,P199
Nancy Shukri,Sarawak,Batang Sadong,http://en.wikipedia.org/wiki/Nancy_Shukri,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Batang Sadong, Sarawak",Barisan Nasional,BN,P200
Rohani Abdul Karim,Sarawak,Batang Lupar,http://en.wikipedia.org/wiki/Rohani_Abdul_Karim,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Batang Lupar, Sarawak",Barisan Nasional,BN,P201
Masir Kujat,Sarawak,Sri Aman,http://en.wikipedia.org/wiki/Masir_Kujat,PRS,Parti Rakyat Sarawak,13,"","Sri Aman, Sarawak",Barisan Nasional,BN,P202
William Nyallau Badak,Sarawak,Lubok Antu,http://en.wikipedia.org/wiki/William_Nyallau_Badak,PRS,Parti Rakyat Sarawak,13,"","Lubok Antu, Sarawak",Barisan Nasional,BN,P203
Douglas Uggah Embas,Sarawak,Betong,http://en.wikipedia.org/wiki/Douglas_Uggah_Embas,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Betong, Sarawak",Barisan Nasional,BN,P204
William Mawan Ikom,Sarawak,Saratok,,TERAS,Parti Tenaga Rakyat Sarawak,13,"","Saratok, Sarawak",,,P205
Norah Abdul Rahman,Sarawak,Tanjong Manis,http://en.wikipedia.org/wiki/Norah_Abdul_Rahman,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Tanjong Manis, Sarawak",Barisan Nasional,BN,P206
Wahab Dolah,Sarawak,Igan,http://en.wikipedia.org/wiki/Wahab_Dolah,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Igan, Sarawak",Barisan Nasional,BN,P207
Wong Ling Biu,Sarawak,Sarikei,,DAP,Democratic Action Party,13,"","Sarikei, Sarawak",,,P208
Joseph Salang Gandum,Sarawak,Julau,http://en.wikipedia.org/wiki/Joseph_Salang_Gandum,PRS,Parti Rakyat Sarawak,13,"","Julau, Sarawak",Barisan Nasional,BN,P209
Aaron Ago Dagang,Sarawak,Kanowit,http://en.wikipedia.org/wiki/Aaron_Ago_Dagang,PRS,Parti Rakyat Sarawak,13,"","Kanowit, Sarawak",Barisan Nasional,BN,P210
Alice Lau Kiong Yieng,Sarawak,Lanang,,DAP,Democratic Action Party,13,"","Lanang, Sarawak",,,P211
Oscar Ling Chai Yew,Sarawak,Sibu,,DAP,Democratic Action Party,13,"","Sibu, Sarawak",,,P212
Leo Michael Toyad,Sarawak,Mukah,http://en.wikipedia.org/wiki/Leo_Michael_Toyad,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Mukah, Sarawak",Barisan Nasional,BN,P213
Joseph Entulu Belaun,Sarawak,Selangau,http://en.wikipedia.org/wiki/Joseph_Entulu_Belaun,PRS,Parti Rakyat Sarawak,13,"","Selangau, Sarawak",Barisan Nasional,BN,P214
Alexander Nanta Linggi,Sarawak,Kapit,http://en.wikipedia.org/wiki/Alexander_Nanta_Linggi,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Kapit, Sarawak",Barisan Nasional,BN,P215
Wilson Ugak Kumbong,Sarawak,Hulu Rajang,,PRS,Parti Rakyat Sarawak,13,"","Hulu Rajang, Sarawak",Barisan Nasional,BN,P216
Tiong King Sing,Sarawak,Bintulu,http://en.wikipedia.org/wiki/Tiong_King_Sing,SPDP,Sarawak Progressive Democratic Party,13,"","Bintulu, Sarawak",Barisan Nasional,BN,P217
Ahmad Lai Bujang,Sarawak,Sibuti,http://en.wikipedia.org/wiki/Ahmad_Lai_Bujang,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Sibuti, Sarawak",Barisan Nasional,BN,P218
Michael Teo Yu Keng,Sarawak,Miri,,PKR,People's Justice Party,13,"","Miri, Sarawak",,,P219
Anyi Ngau,Sarawak,Baram,,SPDP,Sarawak Progressive Democratic Party,13,"","Baram, Sarawak",Barisan Nasional,BN,P220
Hasbi Habibollah,Sarawak,Limbang,http://en.wikipedia.org/wiki/Hasbi_Habibollah,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Limbang, Sarawak",Barisan Nasional,BN,P221
Henry Sum Agong,Sarawak,Lawas,http://en.wikipedia.org/wiki/Henry_Sum_Agong,PBB,Parti Pesaka Bumiputera Bersatu,13,"","Lawas, Sarawak",Barisan Nasional,BN,P222
