name,img,group,area,email,id,start_date
Terje Trei,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=c79c2162-d406-445a-91bb-4c4f9556efb2,Eesti Reformierakonna fraktsioon,Jõgeva- ja Tartumaa (v.a Tartu linn) ,Terje.Trei@riigikogu.ee,c79c2162-d406-445a-91bb-4c4f9556efb2,
Margus Tsahkna,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=db788688-d7a6-4af8-8cee-3004adb948f5,Isamaa ja Res Publica Liidu fraktsioon,Tartu linn ,Margus.Tsahkna@riigikogu.ee,db788688-d7a6-4af8-8cee-3004adb948f5,
Marika Tuus-Laul,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=ec4c481a-8727-490a-b90e-cbefeac9564e,Eesti Keskerakonna fraktsioon,Jõgeva- ja Tartumaa (v.a Tartu linn) ,Marika.Tuus-Laul@riigikogu.ee,ec4c481a-8727-490a-b90e-cbefeac9564e,
Toomas Tõniste,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=0fc75d40-b4cf-4d31-b5d4-a93348179103,Isamaa ja Res Publica Liidu fraktsioon,Pärnumaa ,Toomas.Toniste@riigikogu.ee,0fc75d40-b4cf-4d31-b5d4-a93348179103,
Urbo Vaarmann,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=39c91f79-e23c-44ae-8d62-56bce199b090,Eesti Keskerakonna fraktsioon,Tartu linn ,Urbo.Vaarmann@riigikogu.ee,39c91f79-e23c-44ae-8d62-56bce199b090,
Ken-Marti Vaher,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=e796fa83-54c6-4aa2-a05a-166f331508fa,Isamaa ja Res Publica Liidu fraktsioon,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Ken-Marti.Vaher@riigikogu.ee,e796fa83-54c6-4aa2-a05a-166f331508fa,
Rainer Vakra,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=5388e0b7-83d8-4c7c-8cfd-084a225d0c5f,Fraktsiooni mittekuuluvad Riigikogu liikmed,Tallinna Mustamäe ja Nõmme linnaosa ,Rainer.Vakra@riigikogu.ee,5388e0b7-83d8-4c7c-8cfd-084a225d0c5f,
Rannar Vassiljev,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=d811d4da-2fc8-46e2-94b3-f288aefa94ba,Sotsiaaldemokraatliku Erakonna fraktsioon,Lääne-Virumaa ,Rannar.Vassiljev@riigikogu.ee,d811d4da-2fc8-46e2-94b3-f288aefa94ba,
Viktor Vassiljev,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=bbbcacb7-c34f-48b7-a2ba-1680c93ff810,Eesti Keskerakonna fraktsioon,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Viktor.Vassiljev@riigikogu.ee,bbbcacb7-c34f-48b7-a2ba-1680c93ff810,
Vladimir Velman,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=e0767645-54aa-4084-9dd3-ed196172dabb,Eesti Keskerakonna fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Vladimir.Velman@riigikogu.ee,e0767645-54aa-4084-9dd3-ed196172dabb,
Peeter Võsa,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=33cbcc0d-2b3d-4804-8e95-cb7d2875c71c,Eesti Keskerakonna fraktsioon,Lääne-Virumaa ,Peeter.Vosa@riigikogu.ee,33cbcc0d-2b3d-4804-8e95-cb7d2875c71c,
Jaan Õunapuu,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=2341a960-9f10-432c-bf8a-5d42683ad392,Sotsiaaldemokraatliku Erakonna fraktsioon,Jõgeva- ja Tartumaa (v.a Tartu linn) ,Jaan.Ounapuu@riigikogu.ee,2341a960-9f10-432c-bf8a-5d42683ad392,
